large_lot_apt_02_3_4storeys_reasons,text
large_lot_apt_02_5_6storeys_eligible,boolean
large_lot_apt_02_5_6storeys_reasons,text
large_lot_apt_03_4_6storeys_eligible,boolean
large_lot_apt_03_4_6storeys_reasons,text
lep_currency_date,text
lep_lay_class,text
lep_lga_name,text
lfb_class_description,text
lfb_label,text
lfb_lay_class,text
lfb_lay_name,text
lmr_fsr,text
lmr_hob,text
lmr_landuse,text
lmr_lot_width,text
lmr_lotsize,text
lmr_sym_code,text
lmr_train_stations,text
localcomplying_lay_class,text
localprov_lay_class,text
localprov_lay_name,text
longest_axis_m,double precision
lot_depth_m,double precision
manor_homes_01_studio_eligible,boolean
manor_homes_01_studio_reasons,text
mineral_epi_name,text
mineral_epi_type,text
mls_epi_name,text
neck_ratio,double precision
npws_ogc_fid,text
nrbio_epi_name,text
nrbio_epi_type,text
nrbio_lay_class,text
nrsensi_epi_name,text
nrsensi_lay_class,text
nrsensi_lay_name,text
nrwater_epi_name,text
nrwater_lay_class,text
nrwater_lay_name,text
orientation_degrees,double precision
perimeter_m,double precision
permissible_uses,text
pnf_controllin,text
postcode_1,text
primary_frontage_length_m,double precision
primary_frontage_road,text
ramsar_refcode,text
ramsar_source,text
rectangularity,double precision
rfa_label,text
rfa_lay_class,text
rfa_lay_name,text
rip_epi_name,text
rip_lay_name,text
row_homes_01_saha_eligible,boolean
row_homes_01_saha_reasons,text
salinity_epi_name,text
sca_class,text
sca_label,text
sca_legislation,text
scenic_epi_name,text
scenic_lga_name,text
semis_01_anthony_gill_eligible,boolean
semis_01_anthony_gill_reasons,text
semis_02_sibling_eligible,boolean
semis_02_sibling_reasons,text
sepp_landuses,text
sepps,text
shape_index,double precision
small_lot_apt_01_3storeys_eligible,boolean
small_lot_apt_01_3storeys_min_eligible,boolean
small_lot_apt_01_3storeys_min_reasons,text
small_lot_apt_01_3storeys_reasons,text
small_lot_apt_01_4storeys_eligible,boolean
small_lot_apt_01_4storeys_reasons,text
small_lot_apt_02_3storeys_eligible,boolean
small_lot_apt_02_3storeys_reasons,text
small_lot_apt_02_4storeys_eligible,boolean
small_lot_apt_02_4storeys_reasons,text
small_lot_apt_03_4_6storeys_eligible,boolean
small_lot_apt_03_4_6storeys_reasons,text
small_lot_apt_04_4_5storeys_eligible,boolean
small_lot_apt_04_4_5storeys_reasons,text
square_compactness,double precision
terraces_01_carter_eligible,boolean
terraces_01_carter_reasons,text
terraces_02_sam_crawford_eligible,boolean
terraces_02_sam_crawford_reasons,text
terraces_03_officer_woods_eligible,boolean
terraces_03_officer_woods_reasons,text
terraces_04_other_eligible,boolean
terraces_04_other_reasons,text
tod_lay_class,text
tod_map_name,text
wilderness_name,text
_poi_done,boolean
_lotsize_done,boolean
_restore_done,boolean
