attname,avg_width,null_frac,n_distinct
is_battleaxe,1,0.000,2
is_corner_lot,1,0.000,2
kcorr_area_ha,0,1.000,0
kcorr_label,0,1.000,0
kcorr_lay_class,0,1.000,0
kcorr_lay_name,0,1.000,0
koala_lay_class,19,1.000,1
koala_lay_name,19,1.000,1
land_value_1,8,0.056,3451
landres_lay_class,20,0.995,41
landres_lra_type,17,0.995,22
landslidrisk,20,0.984,22
large_lot_apt_01_4storeys_eligible,1,0.000,1
large_lot_apt_01_4storeys_reasons,20,0.000,16716
large_lot_apt_01_6storeys_eligible,1,0.000,1
large_lot_apt_01_6storeys_reasons,20,0.000,16716
large_lot_apt_02_3_4storeys_eligible,1,0.000,2
large_lot_apt_02_3_4storeys_reasons,21,0.000,16827
large_lot_apt_02_5_6storeys_eligible,1,0.000,2
large_lot_apt_02_5_6storeys_reasons,22,0.000,17046
large_lot_apt_03_4_6storeys_eligible,1,0.000,2
large_lot_apt_03_4_6storeys_reasons,21,0.000,17896
lep_currency_date,14,0.041,184
lep_lay_class,9,0.041,7
lep_lga_name,12,0.041,195
lfb_class_description,0,1.000,0
lfb_label,0,1.000,0
lfb_lay_class,0,1.000,0
lfb_lay_name,0,1.000,0
lga_name,12,0.000,131
lmr_fsr,15,0.966,33
lmr_hob,9,0.966,19
lmr_landuse,18,0.966,99
lmr_lot_width,11,0.966,2
lmr_lotsize,20,0.966,6
lmr_sym_code,3,0.966,7
lmr_train_stations,24,0.966,85
localcomplying_lay_class,18,0.995,1
localprov_lay_class,15,0.602,1182
localprov_lay_name,23,0.602,585
longest_axis_m,8,0.050,15666
lot_depth_m,8,0.031,15301
lot_section_plan,12,0.000,112200
lot_size,8,0.261,132
lot_size_units,3,0.261,7
lotnumber,2,0.215,1764
lsz_lay_class,8,0.260,49
lsz_lay_class_p,8,0.260,194
lsz_lay_size_p,6,0.260,298
lsz_sym_code,2,0.260,76
lsz_sym_code_p,2,0.260,293
lzn_epi_name_p,25,0.015,223
lzn_label,3,0.015,54
lzn_lay_class,20,0.015,46
lzn_lay_class_p,20,0.015,421
lzn_sym_code_p,3,0.015,431
manor_homes_01_studio_eligible,1,0.000,2
manor_homes_01_studio_reasons,20,0.000,7253
mine_subsidence_district,13,0.962,28
mineral_epi_name,18,0.994,5
mineral_epi_type,4,0.994,2
mineralresoureland,13,0.994,6
mls_epi_name,28,0.260,188
neck_ratio,8,0.050,7072
no_of_baths,2,0.941,9
no_of_beds,2,0.780,15
no_of_cars,2,0.944,17
normalized_address,0,1.000,0
npws_ogc_fid,6,0.995,562
nrbio_epi_name,25,0.997,3
nrbio_epi_type,4,0.997,1
nrbio_lay_class,14,0.997,9
nrsensi_epi_name,0,1.000,0
nrsensi_lay_class,0,1.000,0
nrsensi_lay_name,0,1.000,0
nrwater_epi_name,19,0.999,1
nrwater_lay_class,7,0.999,10
nrwater_lay_name,15,0.999,1
objectid,4,0.000,112200
ols_maximum_height,8,0.964,67
ols_minimum_height,8,0.964,66
orientation_degrees,8,0.050,4404
perimeter_m,8,0.050,24257
permissible_uses,18,0.088,75775
planlabel,8,0.000,60087
pnf_controllin,2,0.999,2
postcode,4,0.000,613
postcode_1,5,0.000,614
primary_frontage_length_m,8,0.000,11513
primary_frontage_road,14,0.151,18397
property_description,14,0.057,97620
property_id,4,0.000,93981
propertyfrontagecount,2,0.000,35
propid,4,0.000,93981
propid_count,8,0.000,413
ramsar_refcode,4,1.000,6
ramsar_source,21,1.000,6
rectangularity,8,0.050,5398
region_name,9,0.000,5
rfa_label,7,1.000,1
rfa_lay_class,17,1.000,1
rfa_lay_name,17,1.000,1
rip_epi_name,22,0.997,2
rip_lay_name,19,0.997,2
riparianlandwatercouse,23,0.997,7
row_homes_01_saha_eligible,1,0.000,2
row_homes_01_saha_reasons,21,0.000,10641
salinity,29,0.988,9
salinity_epi_name,37,0.988,7
sca_class,23,0.998,3
sca_label,20,0.998,9
sca_legislation,19,0.998,1
scenic_epi_name,18,0.984,14
scenic_lga_name,10,0.984,14
scenicprotectionland,19,0.984,15
sectionnumber,2,0.937,145
semis_01_anthony_gill_eligible,1,0.000,2
semis_01_anthony_gill_reasons,20,0.000,7253
semis_02_sibling_eligible,1,0.000,2
semis_02_sibling_reasons,21,0.000,9090
sepp_landuses,18,0.026,17403
sepps,20,0.026,3
shape_index,8,0.050,5003
small_lot_apt_01_3storeys_eligible,1,0.000,2
small_lot_apt_01_3storeys_min_eligible,1,0.000,2
small_lot_apt_01_3storeys_min_reasons,21,0.000,11901
small_lot_apt_01_3storeys_reasons,21,0.000,13213
small_lot_apt_01_4storeys_eligible,1,0.000,2
small_lot_apt_01_4storeys_reasons,21,0.000,14644
small_lot_apt_02_3storeys_eligible,1,0.000,2
small_lot_apt_02_3storeys_reasons,22,0.000,10925
small_lot_apt_02_4storeys_eligible,1,0.000,2
small_lot_apt_02_4storeys_reasons,22,0.000,14014
small_lot_apt_03_4_6storeys_eligible,1,0.000,2
small_lot_apt_03_4_6storeys_reasons,22,0.000,13986
small_lot_apt_04_4_5storeys_eligible,1,0.000,2
small_lot_apt_04_4_5storeys_reasons,22,0.000,13768
square_compactness,8,0.050,7367
suburbname,10,0.000,3394
terraces_01_carter_eligible,1,0.000,2
terraces_01_carter_reasons,22,0.000,10311
terraces_02_sam_crawford_eligible,1,0.000,2
terraces_02_sam_crawford_reasons,23,0.000,12232
terraces_03_officer_woods_eligible,1,0.000,2
terraces_03_officer_woods_reasons,23,0.000,11510
terraces_04_other_eligible,1,0.000,2
terraces_04_other_reasons,24,0.000,12356
tod_lay_class,27,0.993,1
tod_map_name,27,0.993,1
total_cdc_eligible,4,0.000,9
walkable_score,8,0.098,101
wetland,17,0.994,1
width,8,0.031,12236
wilderness_name,10,0.999,30
